kernel,cell,method,true_ratio,varied,replicates,seed,coverage,mc_se,excludes_one_rate,undefined_or_unbounded,median_width,interval_status
snap-r6-crosshalf-bias,leak_0.10,wild_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.1, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.94575,0.0035814430576235614,0.60875,0.0075,0.3530026575587211,undefined_present
snap-r6-crosshalf-bias,leak_0.10,cluster_t_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.1, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.94275,0.0036732967991982357,0.792,0.0,0.29643909586676054,all_defined
snap-r6-crosshalf-bias,leak_0.20,wild_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.2, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.91975,0.004295635503042595,0.9635,0.0,0.22803028683065552,all_defined
snap-r6-crosshalf-bias,leak_0.20,cluster_t_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.2, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.91925,0.0043078253649608406,0.96425,0.0,0.2274333114939221,all_defined
snap-r6-crosshalf-bias,leak_0.20,wild_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.2, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.9425,0.0036808202210920327,0.6165,0.0055,0.3390991259527134,undefined_present
snap-r6-crosshalf-bias,leak_0.20,cluster_t_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.2, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.931,0.0040074617902108554,0.793,0.0,0.28445000405301146,all_defined
snap-r6-crosshalf-bias,leak_0.40,wild_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.4, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.8635,0.005428345742489142,0.95075,0.0,0.217636567781973,all_defined
snap-r6-crosshalf-bias,leak_0.40,cluster_t_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.4, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.86125,0.0054657670436087935,0.95175,0.0,0.21703402984479203,all_defined
snap-r6-crosshalf-bias,leak_0.40,wild_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.4, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.90925,0.004541872892871397,0.58925,0.0075,0.3238477097419586,undefined_present
snap-r6-crosshalf-bias,leak_0.40,cluster_t_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.4, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.8875,0.0049960922229278365,0.76225,0.0,0.27053827322450363,all_defined
snap-r6-detect-power,lambda_1.00,wild_recipe,1.0,"{""noise_sd"": 1.45, ""rho"": 0.0}",4000,20260964,0.947,0.003542280338990692,0.01775,0.0,0.4052850408385551,all_defined
snap-r6-detect-power,lambda_1.00,cluster_t_recipe,1.0,"{""noise_sd"": 1.45, ""rho"": 0.0}",4000,20260964,0.9475,0.0035264624625820132,0.01725,0.00025,0.4063810192783659,undefined_present
snap-r6-detect-power,lambda_1.00,wild_size,1.0,"{""noise_sd"": 1.45, ""rho"": 0.0}",4000,20260964,0.78975,0.006442921260965402,0.01775,0.17,0.551782107505131,undefined_present
snap-r6-detect-power,lambda_1.00,cluster_t_size,1.0,"{""noise_sd"": 1.45, ""rho"": 0.0}",4000,20260964,0.9185,0.004326018666164075,0.0205,0.0285,0.511979061494013,undefined_present
snap-r6-detect-power,lambda_1.03,wild_recipe,1.03,"{""noise_sd"": 1.45, ""rho"": 0.006766666666666661}",4000,20260964,0.94925,0.003470390377896987,0.0325,0.0005,0.4023386695873935,undefined_present
snap-r6-detect-power,lambda_1.03,cluster_t_recipe,1.03,"{""noise_sd"": 1.45, ""rho"": 0.006766666666666661}",4000,20260964,0.94725,0.0035343824602043273,0.03125,0.0005,0.4032331472569951,undefined_present
